dataset,task,method,variant,seed,state,source,detail
DBLP,lp,Augmentation,v1,20241017,unreadable,results\dblp_lp_augmentation\seed_20241017\test_v1.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Augmentation,v1,20251017,unreadable,results\dblp_lp_augmentation\seed_20251017\test_v1.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Augmentation,v2,1566911444,unreadable,results\dblp_lp_augmentation\seed_1566911444\test_v2.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Augmentation,v2,20241017,unreadable,results\dblp_lp_augmentation\seed_20241017\test_v2.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Augmentation,v2,20251017,unreadable,results\dblp_lp_augmentation\seed_20251017\test_v2.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Augmentation,v3,1566911444,unreadable,results\dblp_lp_augmentation\seed_1566911444\test_v3.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Augmentation,v3,20241017,unreadable,results\dblp_lp_augmentation\seed_20241017\test_v3.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Augmentation,v3,20251017,unreadable,results\dblp_lp_augmentation\seed_20251017\test_v3.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Invariant,v1,1566911444,missing,results\dblp_lp_invariant\DBLP_invariant_v1\seed1566911444.pt,
DBLP,lp,Invariant,v1,20241017,unreadable,results\dblp_lp_invariant\DBLP_invariant_v1\seed20241017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Invariant,v1,20251017,missing,results\dblp_lp_invariant\DBLP_invariant_v1\seed20251017.pt,
DBLP,lp,Invariant,v2,1566911444,missing,results\dblp_lp_invariant\DBLP_invariant_v2\seed1566911444.pt,
DBLP,lp,Invariant,v2,20241017,unreadable,results\dblp_lp_invariant\DBLP_invariant_v2\seed20241017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Invariant,v2,20251017,missing,results\dblp_lp_invariant\DBLP_invariant_v2\seed20251017.pt,
DBLP,lp,Invariant,v3,1566911444,missing,results\dblp_lp_invariant\DBLP_invariant_v3\seed1566911444.pt,
DBLP,lp,Invariant,v3,20241017,unreadable,results\dblp_lp_invariant\DBLP_invariant_v3\seed20241017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Invariant,v3,20251017,missing,results\dblp_lp_invariant\DBLP_invariant_v3\seed20251017.pt,
